Publication ID,Title,Year,Publication Type,Publication URL,Journal Name,Researcher ID,Journal ID
31,Differential access to dark markets and execution outcomes,2025,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/2018388-differential%20access%20to%20dark%20markets%20and%20execution%20outcomes,Journal of Financial Economics,1,1475
32,ETF effects: The role of primary versus secondary market activities,2025,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/2007410-etf%20effects-%20the%20role%20of%20primary%20versus%20secondary%20market%20activities,Journal of financial markets,1,1481
33,Listing exchanges versus other lit venues: Price formation,2024,Report,https://findanexpert.unimelb.edu.au/scholarlywork/1940824-listing%20exchanges%20versus%20other%20lit%20venues-%20price%20formation,,1,
34,Listing exchanges versus other lit venues: Liquidity and order book dynamics,2024,Report,https://findanexpert.unimelb.edu.au/scholarlywork/1940825-listing%20exchanges%20versus%20other%20lit%20venues-%20liquidity%20and%20order%20book%20dynamics,,1,
35,Nonstandard Errors,2024,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1882395-nonstandard%20errors,Journal of Finance,1,897
36,Closing Mechanisms in European Equities,2023,Report,https://findanexpert.unimelb.edu.au/scholarlywork/1805455-closing%20mechanisms%20in%20european%20equities,,1,
37,Retail Trading in European Equity Markets,2023,Report,https://findanexpert.unimelb.edu.au/scholarlywork/1775743-retail%20trading%20in%20european%20equity%20markets,,1,
38,Are Speed Bumps Beneficial?,2023,Report,https://findanexpert.unimelb.edu.au/scholarlywork/1899902-are%20speed%20bumps%20beneficial?,,1,
39,Measuring Financial Wellbeing with Self-Reported and Bank Record Data*,2022,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1663243-measuring%20financial%20wellbeing%20with%20self-reported%20and%20bank%20record%20data*,Economic Record,1,2489
40,Secondary Market Transparency and Corporate Bond Issuing Costs,2022,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1565084-secondary%20market%20transparency%20and%20corporate%20bond%20issuing%20costs,Review of Finance,1,2260
41,Does Financial Market Structure Affect the Cost of Raising Capital?,2021,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1460746-does%20financial%20market%20structure%20affect%20the%20cost%20of%20raising%20capital?,Journal of Financial and Quantitative Analysis,1,1470
42,Comment on: Price Discovery in High Resolution,2021,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1416707-comment%20on-%20price%20discovery%20in%20high%20resolution,Journal of Financial Econometrics,1,1473
43,"Inverted fee structures, tick size, and market quality",2019,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1384505-inverted%20fee%20structures-%20tick%20size-%20and%20market%20quality,Journal of Financial Economics,1,1475
44,Regulating dark trading: Order flow segmentation and market quality,2018,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1602250-regulating%20dark%20trading-%20order%20flow%20segmentation%20and%20market%20quality,Journal of Financial Economics,1,1475
45,Assessing the information content of short-selling metrics using daily disclosures,2016,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1029435-assessing%20the%20information%20content%20of%20short-selling%20metrics%20using%20daily%20disclosures,Journal of Banking & Finance,1,1296
46,Shorting at close range: a tale of two types,2016,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1006286-shorting%20at%20close%20range-%20a%20tale%20of%20two%20types,Journal of Financial Economics,1,1475
47,Dark trading and price discovery,2015,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/999558-dark%20trading%20and%20price%20discovery,Journal of Financial Economics,1,1475
48,Stock price manipulation: Prevalence and determinants,2014,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/737191-stock%20price%20manipulation-%20prevalence%20and%20determinants,Review of Finance,1,2260
49,Current issues in market design,2013,Book Chapter,https://findanexpert.unimelb.edu.au/scholarlywork/689863-current%20issues%20in%20market%20design,,1,
50,IS AUSTRALIA HFT-friendly?,2012,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1691711-is%20australia%20hft-friendly?,JASSA-THE FINSIA JOURNAL OF APPLIED FINANCE,1,1235
51,Is Australia HFT-friendly?,2012,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/498560-is%20australia%20hft-friendly?,JASSA: the Finsia Journal of Applied Finance,1,1235
52,Why do traders choose to trade anonymously?,2011,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/498610-why%20do%20traders%20choose%20to%20trade%20anonymously?,Journal of Financial and Quantitative Analysis,1,1470
53,Measuring closing price manipulation,2011,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/499132-measuring%20closing%20price%20manipulation,Journal of Financial Intermediation,1,1477
54,Stealth trading: The case of the Tokyo Stock Exchange,2011,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/498620-stealth%20trading-%20the%20case%20of%20the%20tokyo%20stock%20exchange,Pacific Basin Finance Journal,1,2095
55,"Pricing accuracy, liquidity and trader behavior with closing price manipulation",2011,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/498612-pricing%20accuracy-%20liquidity%20and%20trader%20behavior%20with%20closing%20price%20manipulation,Experimental Economics,1,742
56,Transaction costs and institutional trading in small-cap equity funds,2010,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/499138-transaction%20costs%20and%20institutional%20trading%20in%20small-cap%20equity%20funds,Australian Journal of Management,1,274
57,Investment manager skill in small-cap equities,2010,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/499139-investment%20manager%20skill%20in%20small-cap%20equities,Australian Journal of Management,1,274
58,Time variation in liquidity: The role of market-maker inventories and revenues,2010,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/499141-time%20variation%20in%20liquidity-%20the%20role%20of%20market-maker%20inventories%20and%20revenues,Journal of Finance,1,897
59,An examination of minimum tick sizes on the Tokyo Stock Exchange,2010,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/499142-an%20examination%20of%20minimum%20tick%20sizes%20on%20the%20tokyo%20stock%20exchange,Japan and the World Economy,1,1232
60,"Anonymity, liquidity and fragmentation",2009,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/499143-anonymity-%20liquidity%20and%20fragmentation,Journal of Financial Markets,1,1481
61,Not all call auctions are created equal: Evidence from Hong Kong,2007,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/499145-not%20all%20call%20auctions%20are%20created%20equal-%20evidence%20from%20hong%20kong,Review of Quantitative Finance and Accounting,1,2279
62,"Anonymity, Frontrunning, and Market Integrity",2007,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/499144-anonymity-%20frontrunning-%20and%20market%20integrity,JOURNAL OF TRADING,1,2542
63,Opening and closing behavior following the introduction of call auctions in Singapore,2007,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/498570-opening%20and%20closing%20behavior%20following%20the%20introduction%20of%20call%20auctions%20in%20singapore,Pacific Basin Finance Journal,1,2095
64,An Empirical Analysis of Strategic Behaviour Models,2007,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/499146-an%20empirical%20analysis%20of%20strategic%20behaviour%20models,Australian Journal of Management,1,274
65,Price clustering on the Tokyo stock exchange,2007,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/499148-price%20clustering%20on%20the%20tokyo%20stock%20exchange,Financial Review,1,767
66,The Current State of Asia-Pacific Stock Exchanges: A Critical Review of Market Design,2006,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1622280-the%20current%20state%20of%20asia-pacific%20stock%20exchanges-%20a%20critical%20review%20of%20market%20design,CFA Digest,1,
67,The influence of call auction algorithm rules on market efficiency,2006,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/586658-the%20influence%20of%20call%20auction%20algorithm%20rules%20on%20market%20efficiency,Journal of Financial Markets,1,1481
68,Market integrity and surveillance effort,2006,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/999565-market%20integrity%20and%20surveillance%20effort,Journal of Financial Services Research,1,1488
69,Call auction algorithm design and market manipulation,2006,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/999566-call%20auction%20algorithm%20design%20and%20market%20manipulation,Journal of Multinational Financial Management,1,1671
70,The current state of Asia-Pacific stock exchanges: A critical review of market design,2006,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/586660-the%20current%20state%20of%20asia-pacific%20stock%20exchanges-%20a%20critical%20review%20of%20market%20design,Pacific Basin Finance Journal,1,2095
71,Closing call auctions and liquidity,2005,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/999560-closing%20call%20auctions%20and%20liquidity,Accounting and Finance,1,16
72,How broker ability affects institutional trading costs,2005,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/999568-how%20broker%20ability%20affects%20institutional%20trading%20costs,Accounting and Finance,1,16
73,Do reductions in tick sizes influence liquidity?,2005,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/999562-do%20reductions%20in%20tick%20sizes%20influence%20liquidity?,Accounting and Finance,1,16
74,"The impact of limit order anonymity on liquidity: Evidence from Paris, Tokyo and Korea",2005,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/999561-the%20impact%20of%20limit%20order%20anonymity%20on%20liquidity-%20evidence%20from%20paris-%20tokyo%20and%20korea,Journal of Economics and Business,1,1426
75,Managing institutional execution costs,2005,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1776082-managing%20institutional%20execution%20costs,JASSA-THE FINSIA JOURNAL OF APPLIED FINANCE,1,1235
76,How should liquidity be measured?,2003,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/586661-how%20should%20liquidity%20be%20measured?,Pacific Basin Finance Journal,1,2095
77,Do trading rules impact on market efficiency? A comparison of opening procedures on the Australian and Jakarta Stock Exchanges,1999,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/999564-do%20trading%20rules%20impact%20on%20market%20efficiency?%20a%20comparison%20of%20opening%20procedures%20on%20the%20australian%20and%20jakarta%20stock%20exchanges,Pacific Basin Finance Journal,1,2095
78,An adaptive long memory conditional correlation model,2024,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1852735-an%20adaptive%20long%20memory%20conditional%20correlation%20model,Journal of Empirical Finance,1,1440
79,Forecasting variance swap payoffs,2022,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1693804-forecasting%20variance%20swap%20payoffs,JOURNAL OF FUTURES MARKETS,1,2526
80,An application of the Flexible Fourier Form to the Australian housing market,2022,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1709256-an%20application%20of%20the%20flexible%20fourier%20form%20to%20the%20australian%20housing%20market,Victoria's Economic Bulletin,1,
81,The lead of oil price rises on US equity market beliefs and preferences,2021,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1563372-the%20lead%20of%20oil%20price%20rises%20on%20us%20equity%20market%20beliefs%20and%20preferences,Journal of Futures Markets,1,2526
82,THE IMPACT OF COVID-19 ON AUSTRALIA’S HOUSING MARKET,2020,Scholarly Contribution to Database/Website,https://findanexpert.unimelb.edu.au/scholarlywork/1458773-the%20impact%20of%20covid-19%20on%20australiae28099s%20housing%20market,,1,
83,Multivariate models with long memory dependence in conditional correlation and volatility,2018,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1339941-multivariate%20models%20with%20long%20memory%20dependence%20in%20conditional%20correlation%20and%20volatility,Journal of Empirical Finance,1,1440
84,Randomized controlled trial of probiotics after colonoscopy,2017,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/985361-randomized%20controlled%20trial%20of%20probiotics%20after%20colonoscopy,ANZ Journal of Surgery,1,
85,Futures hedging with Markov switching vector error correction FIEGARCH and FIAPARCH,2015,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1008723-futures%20hedging%20with%20markov%20switching%20vector%20error%20correction%20fiegarch%20and%20fiaparch,Journal of Banking and Finance,1,1296
86,Currency Overlay for Global Equity Portfolios: Cross-Hedging and Base Currency,2015,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/928355-currency%20overlay%20for%20global%20equity%20portfolios-%20cross-hedging%20and%20base%20currency,Journal of Futures Markets,1,2526
87,Lymph node status as a prognostic indicator after preoperative neoadjuvant chemoradiotherapy of rectal cancer,2014,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/913458-lymph%20node%20status%20as%20a%20prognostic%20indicator%20after%20preoperative%20neoadjuvant%20chemoradiotherapy%20of%20rectal%20cancer,Colorectal Disease,1,
88,Factors predicting stomal wound closure infection rates,2013,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/458530-factors%20predicting%20stomal%20wound%20closure%20infection%20rates,Techniques in Coloproctology,1,
89,Will tighter futures price limits decrease hedge effectiveness?,2012,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/483718-will%20tighter%20futures%20price%20limits%20decrease%20hedge%20effectiveness?,JOURNAL OF BANKING & FINANCE,1,1296
90,Dynamic currency hedging for international stock portfolios,2012,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/578767-dynamic%20currency%20hedging%20for%20international%20stock%20portfolios,Review of Futures Markets (Kent),1,2262
91,A comparison of developed and emerging equity market return volatility at different time scales,2011,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/336116-a%20comparison%20of%20developed%20and%20emerging%20equity%20market%20return%20volatility%20at%20different%20time%20scales,Managerial Finance,1,1961
92,"Exchange traded contracts for difference: Design, pricing, and effects",2010,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/325511-exchange%20traded%20contracts%20for%20difference-%20design-%20pricing-%20and%20effects,Journal of Futures Markets,1,2526
93,Influence diagnostics for multivariate GARCH processes,2010,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/325634-influence%20diagnostics%20for%20multivariate%20garch%20processes,Journal of Time Series Analysis,1,1848
94,Impact of capital control measures on the Malaysian stock market: A multiresolution analysis,2010,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/325512-impact%20of%20capital%20control%20measures%20on%20the%20malaysian%20stock%20market-%20a%20multiresolution%20analysis,International Journal of Managerial Finance,1,1111
95,How do patients aged 85 and older fare with abdominal surgery?,2010,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/325912-how%20do%20patients%20aged%2085%20and%20older%20fare%20with%20abdominal%20surgery?,Journal of the American Geriatrics Society,1,
96,Estimation of time varying skewness and kurtosis with an application to value at risk,2010,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/325640-estimation%20of%20time%20varying%20skewness%20and%20kurtosis%20with%20an%20application%20to%20value%20at%20risk,Studies in Nonlinear Dynamics and Econometrics,1,2437
97,Wavelet estimation of asymmetric hedge ratios: Does econometric sophistication boost hedging effectiveness?,2008,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/325642-wavelet%20estimation%20of%20asymmetric%20hedge%20ratios-%20does%20econometric%20sophistication%20boost%20hedging%20effectiveness?,International journal of business and economics,1,1002
98,Basis convergence and long memory in volatility when dynamic hedging with futures,2007,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/325503-basis%20convergence%20and%20long%20memory%20in%20volatility%20when%20dynamic%20hedging%20with%20futures,Journal of Financial and Quantitative Analysis,1,1470
99,A Critique of Minimum Variance Hedging,2005,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/325504-a%20critique%20of%20minimum%20variance%20hedging,Accounting Research Journal,1,29
100,Navigating Policy Specificity in Academia: The Evolution of Sexual Harassment Policies around #MeToo,2024,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1898103-navigating%20policy%20specificity%20in%20academia-%20the%20evolution%20of%20sexual%20harassment%20policies%20around%20#metoo,AEA Papers and Proceedings,1,
101,An empirical analysis of price differences for male and female artists in the global art market,2022,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1643911-an%20empirical%20analysis%20of%20price%20differences%20for%20male%20and%20female%20artists%20in%20the%20global%20art%20market,Journal of Cultural Economics,1,1382
102,The Disciplining Effect of Status: Evaluator Status Awards and Observed Gender Bias in Evaluations,2022,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1643912-the%20disciplining%20effect%20of%20status-%20evaluator%20status%20awards%20and%20observed%20gender%20bias%20in%20evaluations,Management Science,1,1956
103,Evolution of a dealer trading network and its effects on art auction prices,2022,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1671057-evolution%20of%20a%20dealer%20trading%20network%20and%20its%20effects%20on%20art%20auction%20prices,European Economic Review,1,696
104,Evaluator Status and its Effect on Gender Bias in Evaluations,2020,Conference Proceedings,https://findanexpert.unimelb.edu.au/scholarlywork/1673873-evaluator%20status%20and%20its%20effect%20on%20gender%20bias%20in%20evaluations,Academy of Management Proceedings,1,
105,Secure task offloading strategy optimization of UAV-aided outdoor mobile high-definition live streaming,2025,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1985438-secure%20task%20offloading%20strategy%20optimization%20of%20uav-aided%20outdoor%20mobile%20high-definition%20live%20streaming,Chinese Journal of Aeronautics,1,
106,Energy Consumption Modeling and Optimization of UAV-Assisted MEC Networks Using Deep Reinforcement Learning,2024,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1871339-energy%20consumption%20modeling%20and%20optimization%20of%20uav-assisted%20mec%20networks%20using%20deep%20reinforcement%20learning,IEEE Sensors Journal,1,
107,Reproducibility in Management Science,2024,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1990829-reproducibility%20in%20management%20science,Management Science,1,1956
108,Energy-Efficient Content Fetching Strategies in Cache-Enabled D2D Networks via an Actor-Critic Reinforcement Learning Structure,2024,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1905882-energy-efficient%20content%20fetching%20strategies%20in%20cache-enabled%20d2d%20networks%20via%20an%20actor-critic%20reinforcement%20learning%20structure,IEEE Transactions on Vehicular Technology,1,883
109,Efficient Generation of Optimal UAV Trajectories With Uncertain Obstacle Avoidance in MEC Networks,2024,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1926084-efficient%20generation%20of%20optimal%20uav%20trajectories%20with%20uncertain%20obstacle%20avoidance%20in%20mec%20networks,IEEE Internet of Things Journal,1,
110,Time to forge ahead: The Internet of Things for healthcare,2023,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1687116-time%20to%20forge%20ahead-%20the%20internet%20of%20things%20for%20healthcare,Digital Communications and Networks,1,
111,Wireless charging of smartwear for health and safety monitoring system,2020,Conference Proceedings,https://findanexpert.unimelb.edu.au/scholarlywork/1492668-wireless%20charging%20of%20smartwear%20for%20health%20and%20safety%20monitoring%20system,"2020 IEEE PELS Workshop on Emerging Technologies: Wireless Power Transfer, WoW 2020",1,
112,PECS: Towards personalized edge caching for future service-centric networks,2019,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1412781-pecs-%20towards%20personalized%20edge%20caching%20for%20future%20service-centric%20networks,China Communications,1,
113,An option-theoretic model of a reputation network,2019,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1363856-an%20option-theoretic%20model%20of%20a%20reputation%20network,Journal of Mathematical Sociology,1,
114,Assessing the energy consumption of 5G wireless edge caching,2019,Conference Proceedings,https://findanexpert.unimelb.edu.au/scholarlywork/1407372-assessing%20the%20energy%20consumption%20of%205g%20wireless%20edge%20caching,Proceedings of 2019 IEEE International Conference on Communications Workshops,1,
115,Big Data Driven Predictive Caching at the Wireless Edge,2019,Conference Proceedings,https://findanexpert.unimelb.edu.au/scholarlywork/1407373-big%20data%20driven%20predictive%20caching%20at%20the%20wireless%20edge,Proceedings of 2019 IEEE International Conference on Communications Workshops,1,
116,Modeling the Total Energy Consumption of Mobile Network Services and Applications,2019,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1369379-modeling%20the%20total%20energy%20consumption%20of%20mobile%20network%20services%20and%20applications,ENERGIES,1,
117,Assessing the Energy Consumption of Proactive Mobile Edge Caching in Wireless Networks,2019,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1412782-assessing%20the%20energy%20consumption%20of%20proactive%20mobile%20edge%20caching%20in%20wireless%20networks,IEEE Access,1,
118,Are Directors Really Irrelevant to Capital Structure Choice?,2017,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1409108-are%20directors%20really%20irrelevant%20to%20capital%20structure%20choice?,SSRN Electronic Journal,1,
119,Network Energy Consumption Assessment of Conventional Mobile Services and Over-The-Top Instant Messaging Applications,2016,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1125137-network%20energy%20consumption%20assessment%20of%20conventional%20mobile%20services%20and%20over-the-top%20instant%20messaging%20applications,IEEE Journal on Selected Areas in Communications,1,
120,Managing the use-phase and embodied energy consumption to achieve sustainable network growth,2016,Conference Proceedings,https://findanexpert.unimelb.edu.au/scholarlywork/1466889-managing%20the%20use-phase%20and%20embodied%20energy%20consumption%20to%20achieve%20sustainable%20network%20growth,Asia Communications and Photonics Conference ACP,1,
121,Pedestrian behaviour analysis using the microsoft kinect,2016,Conference Proceedings,https://findanexpert.unimelb.edu.au/scholarlywork/1061816-pedestrian%20behaviour%20analysis%20using%20the%20microsoft%20kinect,2016 IEEE International Conference on Pervasive Computing and Communication Workshops Percom Workshops 2016,1,
122,Telecommunications energy and greenhouse gas emissions management for future network growth,2016,Journal article,https://findanexpert.unimelb.edu.au/scholarlywork/1030009-telecommunications%20energy%20and%20greenhouse%20gas%20emissions%20management%20for%20future%20network%20growth,Applied Energy,1,163
